Days Since 2010, Injected, Date, Day, Weight (lb), Weight (2023),Delta,Delta 2023
575,,2011-08-30,08-30,366.2,,,
576,,2011-08-31,08-31,366,,,
577,,2011-09-01,09-01,363.7,,,
578,,2011-09-02,09-02,365.6,,,
579,,2011-09-03,09-03,364.6,,,
580,,2011-09-04,09-04,364,,,
581,,2011-09-05,09-05,367.2,,,
582,,2011-09-06,09-06,366.7,,,
583,,2011-09-07,09-07,364.2,,,
584,,2011-09-08,09-08,363.1,,,
585,,2011-09-09,09-09,364,,,
586,,2011-09-10,09-10,363.8,,,
587,,2011-09-11,09-11,361,,,
588,,2011-09-12,09-12,362.1,,,
588,true,2011-09-13,09-13,363.5,,,
589,true,2011-09-14,09-14,364.9,,,
590,true,2011-09-15,09-15,366.3,,,
591,true,2011-09-16,09-16,367.6,,,
592,true,2011-09-17,09-17,369,,,
594,,2011-09-18,09-18,370.4,,,
595,,2011-09-19,09-19,367.4,,,
596,,2011-09-20,09-20,369.7,,,
597,,2011-09-21,09-21,367.8,,,
598,,2011-09-22,09-22,366.6,,,
599,,2011-09-23,09-23,363.3,,,
600,,2011-09-24,09-24,365.4,,,
601,,2011-09-25,09-25,362.8,,,
602,,2011-09-26,09-26,363,,,
603,,2011-09-27,09-27,364.1,,,
604,,2011-09-28,09-28,365.2,,,
605,,2011-09-29,09-29,363,,,
606,,2011-09-30,09-30,363.3,,,
606,true,2011-10-01,10-01,363.3,,,
608,,2011-10-02,10-02,363.3,,,
609,,2011-10-03,10-03,362.8,,,
610,,2011-10-04,10-04,360.5,,,
611,,2011-10-05,10-05,358.6,,,
612,,2011-10-06,10-06,359.1,,,
613,,2011-10-07,10-07,358.7,,,
614,,2011-10-08,10-08,360.6,,,
615,,2011-10-09,10-09,363.7,,,
616,,2011-10-10,10-10,361.8,,,
617,,2011-10-11,10-11,359.4,,,
618,,2011-10-12,10-12,362.1,,,
619,,2011-10-13,10-13,363.4,,,
620,,2011-10-14,10-14,359.9,,,
621,,2011-10-15,10-15,363.1,,,
621,true,2011-10-16,10-16,362.4,,,
623,,2011-10-17,10-17,361.7,,,
624,,2011-10-18,10-18,364.3,,,
625,,2011-10-19,10-19,360.3,,,
626,,2011-10-20,10-20,363.1,,,
627,,2011-10-21,10-21,361.1,,,
628,,2011-10-22,10-22,361.3,,,
629,,2011-10-23,10-23,361.9,,,
630,,2011-10-24,10-24,361.7,,,
631,,2011-10-25,10-25,362.4,,,
632,,2011-10-26,10-26,360.3,,,
633,,2011-10-27,10-27,359.1,,,
634,,2011-10-28,10-28,361.8,,,
635,,2011-10-29,10-29,359.9,,,
636,,2011-10-30,10-30,361.6,,,
637,,2011-10-31,10-31,357,,,
638,,2011-11-01,11-01,359.4,,,
639,,2011-11-02,11-02,359.5,,,
640,,2011-11-03,11-03,359.4,,,
640,true,2011-11-04,11-04,358.9,,,
642,,2011-11-05,11-05,358.3,,,
643,,2011-11-06,11-06,360.1,,,
643,true,2011-11-07,11-07,359.3,,,
645,,2011-11-08,11-08,358.5,,,
646,,2011-11-09,11-09,354.7,,,
647,,2011-11-10,11-10,355.1,,,
648,,2011-11-11,11-11,355.9,,,
649,,2011-11-12,11-12,355.9,,,
649,true,2011-11-13,11-13,356.1,,,
651,,2011-11-14,11-14,356.3,,,
652,,2011-11-15,11-15,359.5,,,
653,,2011-11-16,11-16,354.7,,,
654,,2011-11-17,11-17,358.1,,,
655,,2011-11-18,11-18,362,,,
656,,2011-11-19,11-19,359.9,,,
657,,2011-11-20,11-20,359.1,,,
658,,2011-11-21,11-21,358.4,,,
659,,2011-11-22,11-22,358.4,,,
660,,2011-11-23,11-23,356.6,,,
661,,2011-11-24,11-24,356.9,,,
662,,2011-11-25,11-25,358.6,,,
663,,2011-11-26,11-26,357.3,,,
664,,2011-11-27,11-27,355.6,,,
665,,2011-11-28,11-28,357.3,,,
666,,2011-11-29,11-29,355.1,,,
667,,2011-11-30,11-30,355.1,,,
668,,2011-12-01,12-01,354.6,,,
669,,2011-12-02,12-02,354.6,,,
670,,2011-12-03,12-03,356.2,,,
671,,2011-12-04,12-04,355.5,,,
672,,2011-12-05,12-05,354.7,,,
673,,2011-12-06,12-06,356.5,,,
674,,2011-12-07,12-07,357,,,
675,,2011-12-08,12-08,356.6,,,
676,,2011-12-09,12-09,353.5,,,
677,,2011-12-10,12-10,355.9,,,
678,,2011-12-11,12-11,356.8,,,
679,,2011-12-12,12-12,357.9,,,
680,,2011-12-13,12-13,359,,,
681,,2011-12-14,12-14,357.8,,,
682,,2011-12-15,12-15,356,,,
683,,2011-12-16,12-16,356.3,,,
684,,2011-12-17,12-17,359,,,
685,,2011-12-18,12-18,358.1,,,
686,,2011-12-19,12-19,359.7,,,
687,,2011-12-20,12-20,356.2,,,
688,,2011-12-21,12-21,362.5,,,
689,,2011-12-22,12-22,359.5,,,
690,,2011-12-23,12-23,361.7,,,
691,,2011-12-24,12-24,361.2,,,
692,,2011-12-25,12-25,360.8,,,
693,,2011-12-26,12-26,360,,,
694,,2011-12-27,12-27,360,,,
695,,2011-12-28,12-28,362.4,,,
695,true,2011-12-29,12-29,365.3,,,
697,,2011-12-30,12-30,368.2,,,
697,true,2011-12-31,12-31,365.6,,,
699,,2012-01-01,01-01,363,,,
700,,2012-01-02,01-02,364.2,,,
701,,2012-01-03,01-03,361.6,,,
702,,2012-01-04,01-04,363.3,,,
703,,2012-01-05,01-05,364.4,,,
703,true,2012-01-06,01-06,364.5,,,
705,,2012-01-07,01-07,364.5,,,
706,,2012-01-08,01-08,362.9,,,
707,,2012-01-09,01-09,362.9,,,
708,,2012-01-10,01-10,362.3,,,
708,true,2012-01-11,01-11,363.4,,,
710,,2012-01-12,01-12,364.5,,,
711,,2012-01-13,01-13,367.3,,,
711,true,2012-01-14,01-14,366.8,,,
712,true,2012-01-15,01-15,366.2,,,
714,,2012-01-16,01-16,365.7,,,
715,,2012-01-17,01-17,366,,,
716,,2012-01-18,01-18,366.8,,,
716,true,2012-01-19,01-19,367.3,,,
717,true,2012-01-20,01-20,367.8,,,
718,true,2012-01-21,01-21,368.3,,,
719,true,2012-01-22,01-22,368.8,,,
720,true,2012-01-23,01-23,369.3,,,
721,true,2012-01-24,01-24,369.8,,,
722,true,2012-01-25,01-25,370.3,,,
723,true,2012-01-26,01-26,370.8,,,
724,true,2012-01-27,01-27,371.3,,,
725,true,2012-01-28,01-28,371.8,,,
726,true,2012-01-29,01-29,372.3,,,
727,true,2012-01-30,01-30,372.8,,,
728,true,2012-01-31,01-31,373.3,,,
729,true,2012-02-01,02-01,373.8,,,
730,true,2012-02-02,02-02,374.3,,,
731,true,2012-02-03,02-03,374.9,,,
732,true,2012-02-04,02-04,375.4,,,
